Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xYXmhL0IXOTbJ1scrx91o,10f,_xYXmhL0IXOTbJ1scrx91o,_Jf7QD0G0X3t4g650OVkgc,,Problem 80: BA-Basics,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Bva55rPTCN1O273ImW4qV,10f,_Bva55rPTCN1O273ImW4qV,_Jf7QD0G0X3t4g650OVkgc,,Problem 81: BA-Basics,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tSi8fNToKiiDM6Y1cunSu,10f,_tSi8fNToKiiDM6Y1cunSu,_Jf7QD0G0X3t4g650OVkgc,,82. BA-Basics: Factor rational expression - numerator with constant GCF,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_akQ5ZiOF6zkIizlezxg96,10f,_akQ5ZiOF6zkIizlezxg96,_Jf7QD0G0X3t4g650OVkgc,,83. BA-Basics: Factor rational expression - numerator with GCF = x,,,,
Midpoint and distance formulas,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hUDGVD7SopeJvfoNmpFkj,4b,_hUDGVD7SopeJvfoNmpFkj,_Jf7QD0G0X3t4g650OVkgc,,84. BA-Basics: the distance formula -exact,,,,
Midpoint and distance formulas,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_sllFQBajo0hmuAnx4tEXK,4b,_sllFQBajo0hmuAnx4tEXK,_Jf7QD0G0X3t4g650OVkgc,,85. BA-Basics: the distance formula - decimal,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3HBHwSlkax7mMe91vH6Eq,,_3HBHwSlkax7mMe91vH6Eq,_Jf7QD0G0X3t4g650OVkgc,,Problem 86: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_VCwXurkZUPTl3xzWpplAZ,,_VCwXurkZUPTl3xzWpplAZ,_Jf7QD0G0X3t4g650OVkgc,,Problem 87: BA-Basics,,,,
Isolating variables,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jBDXfMhRAqe1YBachBOEi,1g,_jBDXfMhRAqe1YBachBOEi,_Jf7QD0G0X3t4g650OVkgc,,88: BA-Basics - solve for x,,,,
Isolating variables,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5UDipDrWhNulpiNcKHRCn,1g,_5UDipDrWhNulpiNcKHRCn,_Jf7QD0G0X3t4g650OVkgc,,89: BA-Basics - solve for x,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Q60Lvod1KI2m3qI57wByD,,_Q60Lvod1KI2m3qI57wByD,_Jf7QD0G0X3t4g650OVkgc,,Problem 90: BA-Basics,,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cGvsrL4xh4VR2zlWflb4C,10e,_cGvsrL4xh4VR2zlWflb4C,_Jf7QD0G0X3t4g650OVkgc,,91. BA-Basics: Add two rational expr - numerators are constants,,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FsVaLwBORx81FxSybRcfz,10e,_FsVaLwBORx81FxSybRcfz,_Jf7QD0G0X3t4g650OVkgc,,92. BA-Basics: Subtract two rational expr - numerators are constants,,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_K5jlyHKWogv4weaxFFpap,10e,_K5jlyHKWogv4weaxFFpap,_Jf7QD0G0X3t4g650OVkgc,,93. BA-Basics: Add two rational expr - one numerator is a binomial,,,,
