Webwork Section,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
#N/A,,_w7yt21oDZ98uZWuDIrw5u,_Jf7QD0G0X3t4g650OVkgc,,Problem 119: BA-Basics,,,,
#N/A,,_NsxabBkp1DZ68W0xn8Mw3,_Jf7QD0G0X3t4g650OVkgc,,Problem 120: BA-Basics,,,,
#N/A,,_gTMKPJY2lEMqtuD7nxooF,,BA-Lines,,,,,
Applications and models,8k,_gG3ZTJAkY4HrRpM69hlge,_gTMKPJY2lEMqtuD7nxooF,,1. BA-Lines: population growth of a city,,,,
#N/A,,_tJRRUlZitPvg0lVyUASy9,_gTMKPJY2lEMqtuD7nxooF,,2: BA-Lines: population growth of a city (duplicate),,,,
Equations of lines: slope-intercept form,8c,_FFXeepaZXDIKYcDiIlxah,_gTMKPJY2lEMqtuD7nxooF,,3. BA-Lines: write eq in slope-int form given slope and y-int,,,,
Graphs of lines,8j,_v7qteiQX4TdbT6SIVxM7c,_gTMKPJY2lEMqtuD7nxooF,,4. BA-Lines: find x and y intercepts,,,,
Graphs of lines,8j,_YbNas0BkbliMeCcbIQpXc,_gTMKPJY2lEMqtuD7nxooF,,Problem 5: BA-Lines,,,,
Linear equations,"8h, 13a",_8tjH0gnN7f66tArN8rmwd,_gTMKPJY2lEMqtuD7nxooF,,Problem 6: BA-Lines,,,,
Equations of lines: slope-intercept form,8c,_0qklVsY1YZmz2Dp7mlQEs,_gTMKPJY2lEMqtuD7nxooF,,7. BA-Lines - rewrite equation in general form in slope-intercept form,,,,
Equations of lines: slope-intercept form,8c,_nhMCAXDWJEsyaWamctTxI,_gTMKPJY2lEMqtuD7nxooF,,8. BA-Lines: write eq in slope-int form given through-pt and slope,,,,
Parallel and perpendicular lines,8b,_nnWZ8LdUOhTRwhwSbVKQt,_gTMKPJY2lEMqtuD7nxooF,,9: BA-Lines - find value of k that makes two lines parallel,,,,
Equations of lines: slope-intercept form,8c,_AiMc7Nbk6rQksmkvd5HPC,_gTMKPJY2lEMqtuD7nxooF,,10. BA-Lines: write eq in slope-int form given two points,,,,
#N/A,,_HGDPUtMTjsrkU4gdcAGJd,_gTMKPJY2lEMqtuD7nxooF,,11: BA-Lines - find equation given parallel line and through-point,,,,
#N/A,,_IT09P50EdoCzEwjAl5E0W,_gTMKPJY2lEMqtuD7nxooF,,Problem 12: BA-Lines,,,,
Linear functions,8g,_QG4tVYQFq4RM1QXGvqFzX,_gTMKPJY2lEMqtuD7nxooF,,13. BA-Lines: Determine linear function given two function values,,,,
Parallel and perpendicular lines,8b,_CrwloBcGjlsFyijO8LPdU,_gTMKPJY2lEMqtuD7nxooF,,14: BA-Lines - find value of k s.t. two lines are perpendicular,,,,
Equations of lines: slope-intercept form,8c,_2P7h4BVekHjR97ONzU2sc,_gTMKPJY2lEMqtuD7nxooF,,15: BA-Lines - find equation given through-point and parallel line,,,,
Equations of lines: slope-intercept form,8c,_Ca6ZKu0AN7fxljIJ0DvTH,_gTMKPJY2lEMqtuD7nxooF,,16: BA-Lines - Find equation given through-point and perpendicular line,,,,
Linear equations,8h,_LCOMmybOvHqyEL1nIvUkC,_gTMKPJY2lEMqtuD7nxooF,,17. BA-Lines: Solve linear equation for x,,,,
Solving equations with absolute values,2a,_wmrgp5WM1Y0LsgmJvBdYr,_gTMKPJY2lEMqtuD7nxooF,,18. BA-Lines: Solve abs. value equation for x (1),,,,
Solving equations with absolute values,2a,_s0iawZLxcoupRFbiNr8pp,_gTMKPJY2lEMqtuD7nxooF,,19. BA-Lines: Solve abs. value equation for x (2),,,,
#N/A,,_Nuqz9vAOAJEwH68eAntiX,_gTMKPJY2lEMqtuD7nxooF,,20. BA-Lines: Solve abs. value equation for x (3),,,,
#N/A,,_jW8knEPpIMfIPXTGjQErt,_gTMKPJY2lEMqtuD7nxooF,,Problem 21: BA-Lines,,,,
Parallel and perpendicular lines,"8b, 8h",_aMxtIvTHmR1msAfFGXsJk,_gTMKPJY2lEMqtuD7nxooF,,Problem 22: BA-Lines - find any linear equation given parallel line and through-point,,,,
#N/A,,_gUCDUGcYoMypenc7ISrXe,,BA-Seq,,,,,
Arithmetic,18b,_gHx5wTEmtVySOb7MDZX6f,_gUCDUGcYoMypenc7ISrXe,,1. BA-Seq: given recursive formula for arithmetic sequence determine explicit formula,,,,
Geometric,18e,_JbXobxcfD4k4NoaJXKRr7,_gUCDUGcYoMypenc7ISrXe,,"2: BA-Seq - given 2 pts of geometric sequence, find explicit formula",,,,
Arithmetic,18b,_S82rb7wO4mbw0YnCpgxWj,_gUCDUGcYoMypenc7ISrXe,,"3: BA-Seq - given 2 points of arithmetic sequence, find d, explicit formula, and a_n,",,,,
Arithmetic,18b,_r4Bzf5OLTyT8YqxL4cy9y,_gUCDUGcYoMypenc7ISrXe,,4. BA-Seq: determine general expression given two terms of an arithmetic sequence (mult.choice),,,,
#N/A,,_weGIsSOzlLSHJVye4HOvf,_gUCDUGcYoMypenc7ISrXe,,Problem 5: BA-Seq,,,,
Summation formulas,18d,_UgKCYGdGhIYTpUwv1Rlpz,_gUCDUGcYoMypenc7ISrXe,,6. BA-Seq: find the sum of an arithmetic sequence - mult. choice,,,,
#N/A,,_jDloYPWWvlB0b2L1pZgaP,_gUCDUGcYoMypenc7ISrXe,,Problem 7: BA-Seq,,,,
Arithmetic,"18b, 18d",_WYAIuwJf6cTcly0cHBeAI,_gUCDUGcYoMypenc7ISrXe,,8: BA-Seq: puzzle problem - application of arithmetic sequence,,,,
#N/A,,_mwdLZusUu441L1srRmuZZ,,BA-ExpLog,,,,,
#N/A,,_BVED1SyI4JQee5KnxdxOu,_mwdLZusUu441L1srRmuZZ,,1. BA-ExpLog: Evaluate base-10 logarithms,,,,
Properties of logarithms,17b,_SYcn1Rk9CoN4zuy1Ce0hc,_mwdLZusUu441L1srRmuZZ,,2. BA-ExpLog: Evaluate log with arbitrary base,,,,
#N/A,,_sSjtpwYXR62isXm2wIH7o,_mwdLZusUu441L1srRmuZZ,,3. BA-ExpLog: Evaluate base-10 log of fraction,,,,
Properties of logarithms,17b,_LM8CrL3sFbTjph3tkjBc3,_mwdLZusUu441L1srRmuZZ,,4. BA-ExpLog: Simplify using properties of logs to solve for x,,,,
Properties of logarithms,17b,_a8802K86kU8FDcm3U4JxX,_mwdLZusUu441L1srRmuZZ,,5. BA-ExpLog: Evaluate log of a fraction with arbitrary base,,,,
Properties of logarithms,17b,_yPY7DP3TDdm2ciXr5Pxgl,_mwdLZusUu441L1srRmuZZ,,6: BA-ExpLog - given alog(b) = log(x) find x,,,,
#N/A,,_x1qfxiJGgLU0mNGXeLpWN,_mwdLZusUu441L1srRmuZZ,,Problem 7: BA-ExpLog,,,,
#N/A,,_3oKl04Jwod9wXunb6Sisb,_mwdLZusUu441L1srRmuZZ,,Problem 8: BA-ExpLog,,,,
Applications and models - compounding interest,17j,_h8XE8GyGwHcwKCgZHHTJ9,_mwdLZusUu441L1srRmuZZ,,"9. BA-ExpLog: Solve for A given P,r,t",,,,
Applications and models - compounding interest,17j,_qv4f9zOCnLYmmygAM5jIh,_mwdLZusUu441L1srRmuZZ,,"10. BA-ExpLog: Solve for t given A, P, r",,,,
Applications and models - compounding interest,17j,_sbsLfMAoky3xECd1kGdTI,_mwdLZusUu441L1srRmuZZ,,"11. BA-ExpLog: Solve for P given A, r, t",,,,
Exponential functions,17a,_hStHI7VFg8WYj4oS6TTUp,_mwdLZusUu441L1srRmuZZ,,12. BA-ExpLog: Unsightly rational expression raised to the power 0,,,,
Exponential functions,17a,_OBuQu2YOJ6jY4p2DlM5kG,_mwdLZusUu441L1srRmuZZ,,13: BA-ExpLog - simplify ugly expression with variables to the zeroth power,,,,
Exponential functions,17a,_IeOzlyNBXSoBsVABcz9gZ,_mwdLZusUu441L1srRmuZZ,,14: BA-ExpLog - simplify product with one term raised to negative exponent,,,,
#N/A,,_AVIsqgQoZLjXs19MzZ5RO,_mwdLZusUu441L1srRmuZZ,,Problem 15: BA-ExpLog,,,,
Exponential functions,17a,_zHA8Iq6jNdGYorKBh4JfO,_mwdLZusUu441L1srRmuZZ,,16. BA-ExpLog - fraction raised to rational exponent,,,,
Exponential functions,17a,_LN4aregAHEO5AxNhSS8jL,_mwdLZusUu441L1srRmuZZ,,17: BA-ExpLog - fraction raised to an exponent,,,,
Exponential functions,17a,_eTJzpaUjqX2YLnlwruq23,_mwdLZusUu441L1srRmuZZ,,18: BA-ExpLog - fraction raised to a negative rational exponent,,,,
#N/A,,_GMT7yibXSieK5mf6zN7yg,_mwdLZusUu441L1srRmuZZ,,19: BA-ExpLog - fraction raised to a rational exponent,,,,
#N/A,,_bUmA0h8yC92LHThe1fgj4,_mwdLZusUu441L1srRmuZZ,,20: BA-ExpLog - fraction raised to a rational exponent,,,,
